,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Squad,League
213,Orel Mangala,be BEL,MF,27-055,14.0,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19,Matches,Everton,Premier-League
214,Beto,gw GNB,FW,27-101,15.1,464,24,46,201,223,79,464,33,17,51.5,14,42.4,238,1084,396,12,10,9,66,34,335,72,Matches,Everton,Premier-League
215,Michael Keane,eng ENG,DF,32-121,10.5,468,96,266,184,20,16,468,1,0,0.0,1,100.0,209,831,277,1,1,0,1,2,263,3,Matches,Everton,Premier-League
216,Carlos Alcaraz,ar ARG,"FW,MF",22-163,7.4,339,12,56,150,142,17,339,17,9,52.9,6,35.3,193,1169,612,16,19,2,12,13,223,20,Matches,Everton,Premier-League
217,Tim Iroegbunam,eng ENG,MF,21-316,6.4,269,24,89,127,60,12,269,20,8,40.0,8,40.0,127,744,379,8,10,2,11,18,113,9,Matches,Everton,Premier-League
218,Armando Broja,al ALB,FW,23-244,3.7,127,4,14,47,72,18,127,16,8,50.0,7,43.8,64,577,281,12,8,3,16,13,94,26,Matches,Everton,Premier-League
219,Nathan Patterson,sct SCO,DF,23-208,3.9,215,11,52,90,75,5,215,12,9,75.0,2,16.7,95,420,216,6,5,2,4,2,117,18,Matches,Everton,Premier-League
220,Séamus Coleman,ie IRL,DF,36-213,2.2,105,12,41,45,20,2,105,5,4,80.0,1,20.0,46,274,155,1,1,0,1,1,54,3,Matches,Everton,Premier-League
221,Roman Dixon,eng ENG,DF,20-137,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1,Matches,Everton,Premier-League
222,Harrison Armstrong,eng ENG,MF,18-113,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0,Matches,Everton,Premier-League
223,Youssef Chermiti,pt POR,"FW,MF",20-353,0.5,15,0,0,6,9,3,15,1,1,100.0,0,0.0,7,21,2,0,0,0,0,1,13,6,Matches,Everton,Premier-League
224,Mason Holgate,eng ENG,"FW,DF",28-202,0.1,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0,Matches,Everton,Premier-League
225,Bernd Leno,de GER,GK,33-069,36.0,1405,1126,1394,11,0,0,1405,0,0,,0,,920,3765,2120,0,0,0,0,0,825,0,Matches,Fulham,Premier-League
226,Alex Iwobi,ng NGA,"FW,MF",29-009,32.1,1797,32,236,720,867,113,1797,91,46,50.5,40,44.0,1270,7715,4243,140,104,37,57,39,1403,234,Matches,Fulham,Premier-League
227,Antonee Robinson,us USA,DF,27-277,33.2,2404,128,765,911,763,67,2404,78,34,43.6,33,42.3,1278,7011,4057,114,60,29,41,18,1440,265,Matches,Fulham,Premier-League
228,Calvin Bassey,ng NGA,DF,25-132,33.2,2413,314,1171,1136,131,19,2413,33,15,45.5,11,33.3,1545,8041,4865,39,20,5,33,8,1685,15,Matches,Fulham,Premier-League
