,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
1,Razvan Sava,ro ROU,GK,22-318,12,12,1080,12.0,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0.0,Matches,Udinese,Serie-A
2,Daniele Padelli,it ITA,GK,39-192,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,Udinese,Serie-A
0,Filip Stankovic,rs SRB,GK,23-069,16,16,1367,15.2,23,1.51,83,60,77.1,2,6,8,0,0.0,5,4,1,0,20.0,Matches,Venezia,Serie-A
1,Ionuț Radu,ro ROU,GK,27-342,12,12,1080,12.0,11,0.92,50,39,82.0,1,7,4,4,33.3,2,2,0,0,0.0,Matches,Venezia,Serie-A
2,Jesse Joronen,fi FIN,GK,32-045,8,7,703,7.8,15,1.92,40,27,70.0,1,1,5,2,28.6,3,3,0,0,0.0,Matches,Venezia,Serie-A
0,Yahia Fofana,ci CIV,GK,24-257,31,31,2790,31.0,50,1.61,180,130,73.9,8,6,17,6,19.4,4,3,0,1,0.0,Matches,Angers,Ligue-1
0,Donovan Léon,gf GUF,GK,32-183,29,29,2610,29.0,42,1.45,148,108,75.0,11,7,11,9,31.0,5,5,0,0,0.0,Matches,Auxerre,Ligue-1
1,Théo De Percin,mq MTQ,GK,24-092,2,2,180,2.0,3,1.5,9,5,77.8,0,1,1,1,50.0,2,1,1,0,50.0,Matches,Auxerre,Ligue-1
0,Marco Bizot,nl NED,GK,34-056,29,29,2610,29.0,48,1.66,116,68,64.7,12,5,12,8,27.6,9,7,1,1,12.5,Matches,Brest,Ligue-1
1,Grégoire Coudert,fr FRA,GK,26-032,2,2,180,2.0,5,2.5,13,9,61.5,1,0,1,0,0.0,0,0,0,0,,Matches,Brest,Ligue-1
0,Arthur Desmas,fr FRA,GK,31-028,18,18,1620,18.0,38,2.11,93,54,61.3,5,0,13,3,16.7,3,2,1,0,33.3,Matches,Le-Havre,Ligue-1
1,Mathieu Gorgelin,fr FRA,GK,34-273,13,13,1170,13.0,27,2.08,72,46,66.7,3,4,6,1,7.7,3,3,0,0,0.0,Matches,Le-Havre,Ligue-1
0,Brice Samba,fr FRA,GK,31-010,15,15,1350,15.0,14,0.93,54,40,81.5,6,6,3,7,46.7,4,4,0,0,0.0,Matches,Lens,Ligue-1
1,Mathew Ryan,au AUS,GK,33-027,11,11,990,11.0,15,1.36,48,32,72.9,6,0,5,5,45.5,3,2,1,0,33.3,Matches,Lens,Ligue-1
2,Hervé Koffi,bf BFA,GK,28-201,5,5,450,5.0,8,1.6,26,18,76.9,1,0,4,0,0.0,2,2,0,0,0.0,Matches,Lens,Ligue-1
0,Lucas Chevalier,fr FRA,GK,23-180,31,31,2790,31.0,32,1.03,114,83,75.4,16,8,7,11,35.5,4,4,0,0,0.0,Matches,Lille,Ligue-1
0,Lucas Perri,br BRA,GK,27-145,30,30,2700,30.0,40,1.33,149,109,75.2,16,6,8,9,30.0,3,3,0,0,0.0,Matches,Lyon,Ligue-1
1,Rémy Descamps,fr FRA,GK,28-313,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,Lyon,Ligue-1
0,Gerónimo Rulli,ar ARG,GK,32-350,31,31,2790,31.0,43,1.39,128,84,68.8,18,4,9,5,16.1,6,3,3,0,50.0,Matches,Marseille,Ligue-1
0,Philipp Köhn,ch SUI,GK,27-033,17,17,1530,17.0,15,0.88,54,39,74.1,10,5,2,7,41.2,1,1,0,0,0.0,Matches,Monaco,Ligue-1
1,Radosław Majecki,pl POL,GK,25-170,15,15,1350,15.0,22,1.47,65,43,69.2,7,2,6,3,20.0,2,2,0,0,0.0,Matches,Monaco,Ligue-1
