,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
107,Yann Sommer,ch SUI,GK,36-139,31,31,2790,31.0,30,0.97,108,78,74.1,19,7,5,12,38.7,3,2,1,0,33.3,Matches,Internazionale,Serie-A
108,Josep Martinez,es ESP,GK,26-343,4,4,360,4.0,3,0.75,11,8,72.7,3,1,0,2,50.0,0,0,0,0,,Matches,Internazionale,Serie-A
109,Michele Di Gregorio,it ITA,GK,27-283,30,30,2700,30.0,29,0.97,90,61,73.3,14,12,4,13,43.3,5,5,0,0,0.0,Matches,Juventus,Serie-A
110,Mattia Perin,it ITA,GK,32-177,5,5,450,5.0,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0,,Matches,Juventus,Serie-A
111,Ivan Provedel,it ITA,GK,31-049,29,29,2610,29.0,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0.0,Matches,Lazio,Serie-A
112,Christos Mandas,gr GRE,GK,23-230,6,6,540,6.0,3,0.5,19,16,84.2,3,3,0,4,66.7,0,0,0,0,,Matches,Lazio,Serie-A
113,Wladimiro Falcone,it ITA,GK,30-024,35,35,3150,35.0,57,1.63,168,113,70.8,6,9,20,7,20.0,10,8,1,1,11.1,Matches,Lecce,Serie-A
114,Mike Maignan,fr FRA,GK,29-307,33,33,2934,32.6,36,1.1,120,86,70.8,14,9,10,11,33.3,2,1,1,0,50.0,Matches,Milan,Serie-A
115,Marco Sportiello,it ITA,GK,32-361,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,,Matches,Milan,Serie-A
116,Stefano Turati,it ITA,GK,23-243,30,30,2676,29.7,52,1.75,145,93,65.5,2,7,21,2,6.7,4,2,2,0,50.0,Matches,Monza,Serie-A
117,Semuel Pizzignacco,it ITA,GK,23-247,6,5,474,5.3,11,2.09,23,12,52.2,0,2,3,1,20.0,0,0,0,0,,Matches,Monza,Serie-A
118,Alex Meret,it ITA,GK,28-044,31,31,2735,30.4,23,0.76,77,53,71.4,20,7,4,14,45.2,4,1,2,1,66.7,Matches,Napoli,Serie-A
119,Elia Caprile,it ITA,GK,23-253,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,,Matches,Napoli,Serie-A
120,Simone Scuffet,it ITA,GK,28-339,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches,Napoli,Serie-A
121,Zion Suzuki,jp JPN,GK,22-258,33,33,2970,33.8,49,1.48,140,93,68.6,6,14,14,6,18.2,5,5,0,0,0.0,Matches,Parma,Serie-A
122,Leandro Chichizola,ar ARG,GK,35-040,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,Parma,Serie-A
123,Mile Svilar,rs SRB,GK,25-252,35,35,3150,35.0,32,0.91,141,110,80.1,18,9,8,15,42.9,4,4,0,0,0.0,Matches,Roma,Serie-A
124,Vanja Milinković-Savić,rs SRB,GK,28-074,34,34,3060,34.0,37,1.09,157,118,77.1,10,14,10,10,29.4,5,1,4,0,80.0,Matches,Torino,Serie-A
125,Alberto Paleari,it ITA,GK,32-249,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches,Torino,Serie-A
126,Maduka Okoye,ng NGA,GK,25-251,22,22,1980,22.0,33,1.5,90,60,67.8,6,4,12,4,18.2,5,4,0,1,0.0,Matches,Udinese,Serie-A
127,Razvan Sava,ro ROU,GK,22-319,12,12,1080,12.0,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0.0,Matches,Udinese,Serie-A
128,Daniele Padelli,it ITA,GK,39-193,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,Udinese,Serie-A
129,Filip Stankovic,rs SRB,GK,23-070,16,16,1367,15.2,23,1.51,83,60,77.1,2,6,8,0,0.0,5,4,1,0,20.0,Matches,Venezia,Serie-A
130,Ionuț Radu,ro ROU,GK,27-343,12,12,1080,12.0,11,0.92,50,39,82.0,1,7,4,4,33.3,2,2,0,0,0.0,Matches,Venezia,Serie-A
131,Jesse Joronen,fi FIN,GK,32-046,8,7,703,7.8,15,1.92,40,27,70.0,1,1,5,2,28.6,3,3,0,0,0.0,Matches,Venezia,Serie-A
132,Yahia Fofana,ci CIV,GK,24-258,32,32,2880,32.0,50,1.56,183,133,74.3,9,6,17,7,21.9,4,3,0,1,0.0,Matches,Angers,Ligue-1
